"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"taylor swift opalite music video","100k+","6 February 2026 at 20:40:00 UTC+5:30",,"taylor swift opalite music video,opalite music video,domhnall gleeson,opalite,opalite video,taylor swift opalite video,taylor swift opalite,taylor swift,opalite taylor swift,greta lee,opalite video taylor swift,taylor swift opalite video graham norton,jodie turner-smith,graham norton,graham norton show","./explore?q=taylor%20swift%20opalite%20music%20video&geo=GB"
"winter olympics schedule","200k+","4 February 2026 at 13:30:00 UTC+5:30",,"winter olympics schedule,mariah carey,cortina,where is the winter olympics 2026,olympics games milano cortina 2026,andrea bocelli,winter olympics opening ceremony,where are the winter olympics 2026,where is winter olympics 2026,cortina italy,2026 winter olympics held in which country,san siro stadium,winter olympics opening ceremony 2026,milan,nessun dorma,mariah carey winter olympics,olympic opening ceremony 2026,winter olympics schedule 2026,curling results,mens downhill,when does the winter olympics start,opening ceremony olympics 2026,winter olympics 2026 opening ceremony,cortina d'ampezzo,where to watch winter olympics 2026,olympics opening ceremony 2026,winter olympics 2026 schedule,how old is mariah carey,opening ceremony olympics 2026 time,italian president,is mariah carey italian,where to watch winter olympics,how to watch winter olympics 2026,president of italy,armonia,cortina olympics,italy,winter olympic sports,bocelli,ioc president,where is cortina,andrea bocelli winter olympics,team gb winter olympics 2026,opening ceremony,mariah carey italian,winter olympics 2026 location,volare,olympic rings,rossini,olympics opening ceremony,dolomites,olympics opening ceremony 2026 time,where is the winter olympics,why is mariah carey performing at the olympics,winter olympics,winter olympics opening ceremony 2026 time uk,volare song,how many countries in winter olympics,what time does the winter olympics opening ceremony start,kirsty coventry ioc president,games,france winter olympics,where is milano cortina,mariah carey olympics,what time does the opening ceremony start,cyprus,mariah carey italy,winter olympic opening ceremony,how many countries in the winter olympics,what time is the winter olympics opening ceremony,milan cortina,winter olympics opening ceremony 2026 time,winter olympics opening ceremony time uk,what time is winter olympics opening ceremony,where are the winter olympics,tv listings,olympics 2026,2026 winter olympics","./explore?q=winter%20olympics%20schedule&geo=GB"
"lucy letby","100k+","4 February 2026 at 05:30:00 UTC+5:30",,"lucy letby,lucy letby documentary,lucy letby netflix,digitally anonymised,lucy letby retrial,is lucy letby guilty,is lucy letby still in prison,what does digitally anonymised mean,digitally anonymised meaning","./explore?q=lucy%20letby&geo=GB"
"savannah guthrie","50k+","2 February 2026 at 22:30:00 UTC+5:30",,"savannah guthrie,nancy guthrie,who is nancy guthrie,nancy guthrie missing,address","./explore?q=savannah%20guthrie&geo=GB"
"winter olympics 2026","100k+","4 February 2026 at 13:00:00 UTC+5:30",,"winter olympics 2026,dominik paris","./explore?q=winter%20olympics%202026&geo=GB"
"lewis hamilton","50k+","2 February 2026 at 03:30:00 UTC+5:30",,"lewis hamilton","./explore?q=lewis%20hamilton&geo=GB"
"genoa vs napoli","5k+","7 February 2026 at 21:50:00 UTC+5:30",,"genoa vs napoli,napoli fc,genoa - napoli","./explore?q=genoa%20vs%20napoli&geo=GB"
"bbc rugby","20k+","5 February 2026 at 23:20:00 UTC+5:30",,"bbc rugby,bbc sport rugby,louis rees-zammit,rees zammit,wales rugby today,steve tandy,louis rees zammit,wales rugby,live rugby today,rugby nations championship,2025 six nations,england v wales 6 nations 2026,twickenham stadium","./explore?q=bbc%20rugby&geo=GB"
"wet wipes recall","20k+","7 February 2026 at 03:00:00 UTC+5:30",,"wet wipes recall,wet wipes warning","./explore?q=wet%20wipes%20recall&geo=GB"
"birmingham vs leicester city","20k+","7 February 2026 at 19:40:00 UTC+5:30",,"birmingham vs leicester city,birmingham city,birmingham city f.c","./explore?q=birmingham%20vs%20leicester%20city&geo=GB"
"zimowe igrzyska olimpijskie 2026","20k+","4 February 2026 at 11:00:00 UTC+5:30",,"zimowe igrzyska olimpijskie 2026","./explore?q=zimowe%20igrzyska%20olimpijskie%202026&geo=GB"
"coventry vs oxford utd","20k+","7 February 2026 at 19:40:00 UTC+5:30",,"coventry vs oxford utd,coventry city,coventry fc,coventry city fc,ccfc,coventry city football club","./explore?q=coventry%20vs%20oxford%20utd&geo=GB"
"henry pollock","5k+","7 February 2026 at 22:00:00 UTC+5:30",,"henry pollock,henry pollock rugby,pollock rugby","./explore?q=henry%20pollock&geo=GB"
"derby county vs ipswich town","20k+","7 February 2026 at 17:10:00 UTC+5:30",,"derby county vs ipswich town,derby county,ipswich town,leif davis,derby score,dcfc,derby fc","./explore?q=derby%20county%20vs%20ipswich%20town&geo=GB"
"wrexham vs millwall","10k+","7 February 2026 at 19:40:00 UTC+5:30",,"wrexham vs millwall,wrexham v millwall","./explore?q=wrexham%20vs%20millwall&geo=GB"
"west brom vs stoke city","10k+","7 February 2026 at 19:40:00 UTC+5:30",,"west brom vs stoke city,west brom,wba","./explore?q=west%20brom%20vs%20stoke%20city&geo=GB"
"anniversary","20k+","1 February 2026 at 15:20:00 UTC+5:30",,"anniversary,anniversary movie,anniversary netflix","./explore?q=anniversary&geo=GB"
"hull city vs bristol city","5k+","7 February 2026 at 19:40:00 UTC+5:30",,"hull city vs bristol city","./explore?q=hull%20city%20vs%20bristol%20city&geo=GB"
"6 nations fixtures","20k+","5 February 2026 at 12:10:00 UTC+5:30",,"6 nations fixtures","./explore?q=6%20nations%20fixtures&geo=GB"
"olympics","20k+","4 February 2026 at 14:50:00 UTC+5:30",,"olympics,olympics schedule,bruce mouat,jen dodds,jennifer dodds,curling schedule and results,curling results today,curling winter olympics,jen dodds curling,gb curling team,gb curling,curling sport,curling olympics,jennifer dodds curling,jocelyn peterman,great britain","./explore?q=olympics&geo=GB"
"curling","20k+","4 February 2026 at 14:10:00 UTC+5:30",,"curling,super g,where are winter olympics 2026","./explore?q=curling&geo=GB"
"preston vs portsmouth","5k+","7 February 2026 at 19:40:00 UTC+5:30",,"preston vs portsmouth","./explore?q=preston%20vs%20portsmouth&geo=GB"
"woody allen","20k+","1 February 2026 at 13:40:00 UTC+5:30",,"woody allen","./explore?q=woody%20allen&geo=GB"
"2030 winter olympics","10k+","6 February 2026 at 07:30:00 UTC+5:30",,"2030 winter olympics,winter olympics 2030","./explore?q=2030%20winter%20olympics&geo=GB"
"norwich city vs blackburn rovers","20k+","7 February 2026 at 17:00:00 UTC+5:30",,"norwich city vs blackburn rovers,norwich city fc,norwich city,norwich fc,norwich,norwich score","./explore?q=norwich%20city%20vs%20blackburn%20rovers&geo=GB"
"southampton vs watford","10k+","7 February 2026 at 17:10:00 UTC+5:30",,"southampton vs watford,saints fc,cyle larin,southampton fc","./explore?q=southampton%20vs%20watford&geo=GB"
"memory of a killer","10k+","5 February 2026 at 06:30:00 UTC+5:30",,"memory of a killer,patrick dempsey","./explore?q=memory%20of%20a%20killer&geo=GB"
"jonathan clough","20k+","7 February 2026 at 03:20:00 UTC+5:30",,"jonathan clough,jonathan clough gogglebox,jonathan clough tv,who is jonathan clough,jonathan clough googlebox,jonathon clough gogglebox,gogglebox,who was jonathan clough,johnathan clough gogglebox,jonathan clough death,gogglebox jonathan clough,johnathon clough gogglebox,gogglebox deaths","./explore?q=jonathan%20clough&geo=GB"
"epstein island","20k+","1 February 2026 at 03:40:00 UTC+5:30",,"epstein island","./explore?q=epstein%20island&geo=GB"
"lincoln lawyer","10k+","5 February 2026 at 18:30:00 UTC+5:30",,"lincoln lawyer","./explore?q=lincoln%20lawyer&geo=GB"
"winter olympics schedule and results","5k+","6 February 2026 at 00:50:00 UTC+5:30",,"winter olympics schedule and results","./explore?q=winter%20olympics%20schedule%20and%20results&geo=GB"
"itv","10k+","7 February 2026 at 22:00:00 UTC+5:30",,"itv","./explore?q=itv&geo=GB"
"central cee","10k+","6 February 2026 at 16:00:00 UTC+5:30",,"central cee","./explore?q=central%20cee&geo=GB"
"jeane freeman","5k+","7 February 2026 at 14:20:00 UTC+5:30",,"jeane freeman","./explore?q=jeane%20freeman&geo=GB"
"jacob alon","10k+","7 February 2026 at 04:20:00 UTC+5:30",,"jacob alon","./explore?q=jacob%20alon&geo=GB"
"george ford","2k+","7 February 2026 at 22:10:00 UTC+5:30",,"george ford","./explore?q=george%20ford&geo=GB"
"itvx","10k+","7 February 2026 at 22:00:00 UTC+5:30",,"itvx","./explore?q=itvx&geo=GB"
"sports","5k+","7 February 2026 at 20:00:00 UTC+5:30",,"sports","./explore?q=sports&geo=GB"
"england rugby fixtures","10k+","7 February 2026 at 15:00:00 UTC+5:30",,"england rugby fixtures,england rugby team players,england rugby squad,wales rugby fixtures,rugby fixtures,6nations fixtures,u20 six nations,england u20 rugby,wales u20,wales under 20s,six nations where to watch,watch six nations","./explore?q=england%20rugby%20fixtures&geo=GB"
"caricature","5k+","7 February 2026 at 00:50:00 UTC+5:30",,"caricature,chatgpt caricature","./explore?q=caricature&geo=GB"
"plymouth vs lincoln city","5k+","7 February 2026 at 20:00:00 UTC+5:30",,"plymouth vs lincoln city,lincoln city,argyle,lincoln city fc","./explore?q=plymouth%20vs%20lincoln%20city&geo=GB"
"trump obama video","20k+","6 February 2026 at 18:40:00 UTC+5:30",,"trump obama video,trump obama,obama,trump obama post,obama video,truth social,barack obama,trump,trump obama apes,trump truth social,tim scott,trump video today,trump video,truth social trump,donald trump obama","./explore?q=trump%20obama%20video&geo=GB"
"shadley van schalkwyk","5k+","7 February 2026 at 19:10:00 UTC+5:30",,"shadley van schalkwyk,ali khan","./explore?q=shadley%20van%20schalkwyk&geo=GB"
"katie boulter","50k+","6 February 2026 at 20:50:00 UTC+5:30",,"katie boulter,raducanu,emma raducanu,emma raducanu tennis,oliynykova,cirstea tennis,oleksandra oliynykova,transylvania open,oliynykova tennis,kaja juvan,oliynykova oleksandra,sonay kartal,transylvania,tennis scores today,juvan,chwalinska","./explore?q=katie%20boulter&geo=GB"
"rotherham vs cardiff city","2k+","7 February 2026 at 20:00:00 UTC+5:30",,"rotherham vs cardiff city","./explore?q=rotherham%20vs%20cardiff%20city&geo=GB"
"kirsty muir","5k+","7 February 2026 at 14:30:00 UTC+5:30",,"kirsty muir,kirsty muir ski","./explore?q=kirsty%20muir&geo=GB"
"bolton vs barnsley","5k+","7 February 2026 at 20:00:00 UTC+5:30",,"bolton vs barnsley,bolton wanderers,barnsley fc,bwfc","./explore?q=bolton%20vs%20barnsley&geo=GB"
"rugby world cup","5k+","7 February 2026 at 19:50:00 UTC+5:30",,"rugby world cup,rugby world cup 2027,scotland world cup fixtures","./explore?q=rugby%20world%20cup&geo=GB"
"bbc rugby union","2k+","7 February 2026 at 18:20:00 UTC+5:30",,"bbc rugby union","./explore?q=bbc%20rugby%20union&geo=GB"
"pokemon gen 10 beta images","2k+","7 February 2026 at 15:20:00 UTC+5:30",,"pokemon gen 10 beta images,pokémon gen 10","./explore?q=pokemon%20gen%2010%20beta%20images&geo=GB"
"quiz clothing","10k+","5 February 2026 at 19:20:00 UTC+5:30",,"quiz clothing,administration","./explore?q=quiz%20clothing&geo=GB"
"francesca lollobrigida","10k+","7 February 2026 at 21:30:00 UTC+5:30",,"francesca lollobrigida,milano cortina","./explore?q=francesca%20lollobrigida&geo=GB"
"billy crudup","2k+","7 February 2026 at 16:20:00 UTC+5:30",,"billy crudup","./explore?q=billy%20crudup&geo=GB"
"annie kilner","2k+","7 February 2026 at 20:50:00 UTC+5:30",,"annie kilner","./explore?q=annie%20kilner&geo=GB"
"huddersfield vs blackpool","5k+","7 February 2026 at 20:10:00 UTC+5:30",,"huddersfield vs blackpool,huddersfield town","./explore?q=huddersfield%20vs%20blackpool&geo=GB"
"lady victoria hervey","5k+","6 February 2026 at 22:10:00 UTC+5:30",,"lady victoria hervey,victoria hervey","./explore?q=lady%20victoria%20hervey&geo=GB"
"ghislaine maxwell","20k+","7 February 2026 at 18:40:00 UTC+5:30",,"ghislaine maxwell,virginia giuffre,cbeebies iplayer","./explore?q=ghislaine%20maxwell&geo=GB"
"itv player","5k+","7 February 2026 at 21:50:00 UTC+5:30",,"itv player","./explore?q=itv%20player&geo=GB"
"lizzy yarnold","1k+","7 February 2026 at 23:00:00 UTC+5:30",,"lizzy yarnold","./explore?q=lizzy%20yarnold&geo=GB"
"nick ball","2k+","7 February 2026 at 14:10:00 UTC+5:30",,"nick ball,nick ball next fight,nick ball vs brandon figueroa","./explore?q=nick%20ball&geo=GB"
"cole palmer","5k+","7 February 2026 at 21:10:00 UTC+5:30",,"cole palmer,chelsea vs wolves,wolves v chelsea,chelsea wolves,chelsea f.c.,palmer","./explore?q=cole%20palmer&geo=GB"
"naomi watts","2k+","7 February 2026 at 16:20:00 UTC+5:30",,"naomi watts","./explore?q=naomi%20watts&geo=GB"
"cricket world cup","5k+","7 February 2026 at 13:00:00 UTC+5:30",,"cricket world cup,t20 world cup schedule,t20 world cup 2026 schedule","./explore?q=cricket%20world%20cup&geo=GB"
"igor thiago","1k+","7 February 2026 at 22:40:00 UTC+5:30",,"igor thiago","./explore?q=igor%20thiago&geo=GB"
"ken kern","5k+","6 February 2026 at 03:10:00 UTC+5:30",,"ken kern","./explore?q=ken%20kern&geo=GB"
"peterborough vs wigan athletic","2k+","7 February 2026 at 20:20:00 UTC+5:30",,"peterborough vs wigan athletic,kyrell lisbie","./explore?q=peterborough%20vs%20wigan%20athletic&geo=GB"
"ain olympics","2k+","7 February 2026 at 20:50:00 UTC+5:30",,"ain olympics,ain country,is russia in the winter olympics,are russia in the winter olympics","./explore?q=ain%20olympics&geo=GB"
"sanjay krishnamurthi","5k+","7 February 2026 at 20:10:00 UTC+5:30",,"sanjay krishnamurthi,saurabh netravalkar","./explore?q=sanjay%20krishnamurthi&geo=GB"
"bristol rovers vs chesterfield","2k+","7 February 2026 at 20:10:00 UTC+5:30",,"bristol rovers vs chesterfield","./explore?q=bristol%20rovers%20vs%20chesterfield&geo=GB"
"netherlands national cricket team vs pakistan national cricket team standings","50k+","7 February 2026 at 14:30:00 UTC+5:30","7 February 2026 at 21:40:00 UTC+5:30","netherlands national cricket team vs pakistan national cricket team standings,netherlands vs pakistan,pak vs ned,ned vs pak,pak vs netherlands,pakistan vs netherlands,netherlands national cricket team vs pakistan national cricket team match scorecard,faheem ashraf,pakistan vs ireland,pak vs ire,salman mirza,pakistan national cricket team,sahibzada farhan,pakistan vs netherlands t20 world cup,pakistan national cricket team vs netherlands national cricket team match scorecard,espncricinfo,pak vs,india national cricket team vs south africa national cricket team match scorecard,babar azam","./explore?q=netherlands%20national%20cricket%20team%20vs%20pakistan%20national%20cricket%20team%20standings&geo=GB"
"shubham ranjane","2k+","7 February 2026 at 20:00:00 UTC+5:30",,"shubham ranjane","./explore?q=shubham%20ranjane&geo=GB"
"harmeet singh","2k+","7 February 2026 at 20:00:00 UTC+5:30",,"harmeet singh","./explore?q=harmeet%20singh&geo=GB"
"lens vs rennes","2k+","7 February 2026 at 21:20:00 UTC+5:30",,"lens vs rennes,everton score,wolves score,damac vs al kholood","./explore?q=lens%20vs%20rennes&geo=GB"
"mönchengladbach vs leverkusen","1k+","7 February 2026 at 22:30:00 UTC+5:30",,"mönchengladbach vs leverkusen,pistons vs knicks","./explore?q=m%C3%B6nchengladbach%20vs%20leverkusen&geo=GB"
"marcus smith","500+","7 February 2026 at 22:10:00 UTC+5:30",,"marcus smith","./explore?q=marcus%20smith&geo=GB"
"scunthorpe vs southend utd","1k+","7 February 2026 at 20:20:00 UTC+5:30",,"scunthorpe vs southend utd","./explore?q=scunthorpe%20vs%20southend%20utd&geo=GB"
"jutta leerdam","2k+","7 February 2026 at 20:50:00 UTC+5:30",,"jutta leerdam","./explore?q=jutta%20leerdam&geo=GB"
"man city vs newcastle","500k+","4 February 2026 at 03:20:00 UTC+5:30","6 February 2026 at 05:10:00 UTC+5:30","man city vs newcastle,efl cup,man city v newcastle,man city,league cup,newcastle vs man city,carabao cup fixtures,newcastle,newcastle united,city vs newcastle,efl,man city newcastle,when is the carabao cup final,city,omar marmoush,man city vs newcastle united f.c. lineups,caraboa cup,manchester city,league cup final 2026,man city score,league cup final,newcastle v man city,manchester city vs newcastle,man city vs newcastle united f.c.,man city v newcastle on tv,man city fc,city v newcastle,man coty,city newcastle,carabao cup final date,manchester city f.c.,man city – newcastle,mancity,man city vs,man cuty,city score,marmoush,what channel is man city on tonight,newcastle man city,man city vs newcastle channel,what channel is man city on today,man city vs newcastle where to watch,man city vs newcastle tv,man city vs newcastle united f.c. stats,what channel is man city v newcastle on,anthony elanga,phil foden,eddie howe,carabao cup semi final,where to watch man city vs newcastle,city vs,newcastle match live today,man city vs newcastle united f.c. timeline,man city vs newcastle united,man ciry,man city newcastle tv,man city vs newcastle tv channel,reijnders,what's on tv tonight,man city vs newcastle live,where to watch man city vs newcastle united f.c,manchester city f.c,antoine semenyo,what channel is newcastle match on,where to watch man city game today,man city vs newcastle channel uk,man city news,ups,efl cup games,newcastle united f.c. games,newcastle fc,where to watch man city vs newcastle united f.c.,what channel is man city on,where can i watch man city vs newcastle","./explore?q=man%20city%20vs%20newcastle&geo=GB"
"michelle keegan","1k+","7 February 2026 at 22:50:00 UTC+5:30",,"michelle keegan","./explore?q=michelle%20keegan&geo=GB"
"guy pepper","1k+","7 February 2026 at 21:50:00 UTC+5:30",,"guy pepper","./explore?q=guy%20pepper&geo=GB"
"skeleton winter olympics","500+","7 February 2026 at 22:50:00 UTC+5:30",,"skeleton winter olympics","./explore?q=skeleton%20winter%20olympics&geo=GB"
"west indies vs scotland","10k+","7 February 2026 at 14:30:00 UTC+5:30","7 February 2026 at 23:30:00 UTC+5:30","west indies vs scotland,wi vs sco,cricinfo,west indies cricket team vs scotland national cricket team match scorecard,romario shepherd,richie berrington,shimron hetmyer,live cricket score","./explore?q=west%20indies%20vs%20scotland&geo=GB"
