"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"ghislaine maxwell","20k+","1 February 2026 at 00:20:00 UTC+5:30",,"ghislaine maxwell,virginia giuffre","./explore?q=ghislaine%20maxwell&geo=FR"
"epstein files pdf","50k+","2 February 2026 at 01:40:00 UTC+5:30",,"epstein files pdf,epstein library files,justice gov epstein,justice gov epstein files,robert maxwell,jay z,george bush,eminem,trump epstein,jean-luc brunel","./explore?q=epstein%20files%20pdf&geo=FR"
"arsenal – sunderland","20k+","7 February 2026 at 19:40:00 UTC+5:30",,"arsenal – sunderland,arsenal vs sunderland,gyokeres,arsenal sunderland","./explore?q=arsenal%20%E2%80%93%20sunderland&geo=FR"
"mariah carey","50k+","6 February 2026 at 17:30:00 UTC+5:30",,"mariah carey,andrea bocelli,sports,bocelli,cortina 2026,nessun dorma,rossini,volare,dolomites,bocelli andrea,san siro milan","./explore?q=mariah%20carey&geo=FR"
"six nations","20k+","5 February 2026 at 17:10:00 UTC+5:30",,"six nations,finn russell,garbisi,six nation","./explore?q=six%20nations&geo=FR"
"wolves – chelsea","10k+","7 February 2026 at 19:40:00 UTC+5:30",,"wolves – chelsea,wolves vs chelsea,cole palmer","./explore?q=wolves%20%E2%80%93%20chelsea&geo=FR"
"nancy – troyes","20k+","7 February 2026 at 17:40:00 UTC+5:30",,"nancy – troyes,asnl","./explore?q=nancy%20%E2%80%93%20troyes&geo=FR"
"newcastle – brentford","5k+","7 February 2026 at 22:10:00 UTC+5:30",,"newcastle – brentford,newcastle vs brentford,newcastle,united tottenham","./explore?q=newcastle%20%E2%80%93%20brentford&geo=FR"
"dossier epstein","20k+","1 February 2026 at 02:30:00 UTC+5:30",,"dossier epstein,jack lang maladie,affaire epstein andrew,tanguy,olivier colom,lang jack,fille de jack lang,jack lang epstein,cedric villani,closer,ile epstein,pierre lescure,fille jack lang,jean pierre foucault,bill gates","./explore?q=dossier%20epstein&geo=FR"
"demission sonia mabrouk cnews","50k+","7 February 2026 at 06:30:00 UTC+5:30",,"demission sonia mabrouk cnews,cnews sonia mabrouk morandini,sonia mabrouk,démission sonia mabrouk cnews,sonia mabrouk démission cnews,cnews sonia mabrouk,serge nedjar,sonia mabrouk quitte cnews,mabrouk,journaliste sonia mabrouk,sonia mabrouk cnews,morandini,sonia mabrouk enceinte,morandini cnews,sonia mabrouk absente cnews,jean-marc morandini,programme tv demain soir","./explore?q=demission%20sonia%20mabrouk%20cnews&geo=FR"
"lens","5k+","7 February 2026 at 22:00:00 UTC+5:30",,"lens","./explore?q=lens&geo=FR"
"nils alphand","20k+","7 February 2026 at 02:30:00 UTC+5:30",,"nils alphand,luc alphand,ski alpin jeux olympiques,nils allègre,maxence muzaton,jo hiver 2026 pays,alphand nils,n alphand,nils allegre,epreuve jo hiver,suisse,patinage artistique,jeu olympique 2026","./explore?q=nils%20alphand&geo=FR"
"skiathlon","20k+","7 February 2026 at 12:10:00 UTC+5:30",,"skiathlon,skiathlon jo 2026,heidi weng,c'est quoi le skiathlon,qu est ce que le skiathlon,skiathlon femmes","./explore?q=skiathlon&geo=FR"
"france tv","50k+","6 February 2026 at 00:30:00 UTC+5:30",,"france tv,alexandre boyon","./explore?q=france%20tv&geo=FR"
"le mans – laval","10k+","7 February 2026 at 17:50:00 UTC+5:30",,"le mans – laval,le mans laval,le mans fc,le mans,le mans laval foot","./explore?q=le%20mans%20%E2%80%93%20laval&geo=FR"
"jeux olympiques d'hiver 2030","20k+","5 February 2026 at 00:30:00 UTC+5:30",,"jeux olympiques d'hiver 2030,jo 2030,jo hiver 2030,jo d'hiver 2030,edgar grospiron,jo 2030 hiver,jeux olympiques 2030","./explore?q=jeux%20olympiques%20d%27hiver%202030&geo=FR"
"genoa – naples","2k+","7 February 2026 at 21:50:00 UTC+5:30",,"genoa – naples","./explore?q=genoa%20%E2%80%93%20naples&geo=FR"
"six nations 2026","10k+","5 February 2026 at 23:30:00 UTC+5:30",,"six nations 2026,itoje,george ford,henry arundell,england vs wales","./explore?q=six%20nations%202026&geo=FR"
"francesca lollobrigida","10k+","7 February 2026 at 21:30:00 UTC+5:30",,"francesca lollobrigida,lollobrigida francesca,milano cortina","./explore?q=francesca%20lollobrigida&geo=FR"
"les lionnes netflix","10k+","5 February 2026 at 22:50:00 UTC+5:30",,"les lionnes netflix,les lionnes,rebecca marder,olivier rosemberg,pascale arbillot","./explore?q=les%20lionnes%20netflix&geo=FR"
"chantal ladesou","10k+","6 February 2026 at 22:50:00 UTC+5:30",,"chantal ladesou,chantal,michel drucker,daniel prevost","./explore?q=chantal%20ladesou&geo=FR"
"stellantis","20k+","6 February 2026 at 13:10:00 UTC+5:30",,"stellantis,action stellantis bourse,stellantis bourse,action stellantis,cours stellantis","./explore?q=stellantis&geo=FR"
"patinage artistique jo 2026","20k+","6 February 2026 at 21:20:00 UTC+5:30",,"patinage artistique jo 2026,medaille jo 2026,laurence fournier beaudry,guillaume cizeron,cizeron,papadakis,patinage artistique aux jeux olympiques,cizeron papadakis","./explore?q=patinage%20artistique%20jo%202026&geo=FR"
"france milano cortina 2026","10k+","6 February 2026 at 12:20:00 UTC+5:30",,"france milano cortina 2026,super g,alpine","./explore?q=france%20milano%20cortina%202026&geo=FR"
"superbowl 2026","10k+","4 February 2026 at 00:30:00 UTC+5:30",,"superbowl 2026,superbowl,super bowl","./explore?q=superbowl%202026&geo=FR"
"barcelona vs mallorca","2k+","7 February 2026 at 20:00:00 UTC+5:30",,"barcelona vs mallorca,barcelona - r.c.d. mallorca,barcelona - mallorca","./explore?q=barcelona%20vs%20mallorca&geo=FR"
"tf1","100k+","7 February 2026 at 22:00:00 UTC+5:30",,"tf1,koh lanta,moundir,léa star academy finale,finale star academy,finale star academy 2026,victor star academy,moundir ambre,star academy,demi finale star academy,finaliste star academy 2026,qui a gagné la star academy 2026,star academy finale,final star academy 2026,gagnant star academy 2026,ambre,ambre ou victor,qui est en finale de la star academy 2026,qui a gagne la demi finale star academy 2026,star ac,camille lellouche,qui a gagné la star academy,qui est parti de la star academy,star academy 2026,qui est en finale star academy 2026,finaliste star academy,qui a gagné la demi-finale de la star academy,starac,star academy demi finale 2026,victor,star academy finale 2026,nrj,elimination star academy 31 janvier,qui a été éliminé à la star academy ce soir,ambre moundir,ambre victor,tf1 direct,ambre star ac,gagnant demi finale star academy 2026,qui a gagné la star academy hier soir,star academy direct","./explore?q=tf1&geo=FR"
"saint-étienne – montpellier","2k+","7 February 2026 at 23:40:00 UTC+5:30",,"saint-étienne – montpellier,montpellier foot","./explore?q=saint-%C3%A9tienne%20%E2%80%93%20montpellier&geo=FR"
"bournemouth – aston villa","2k+","7 February 2026 at 19:40:00 UTC+5:30",,"bournemouth – aston villa","./explore?q=bournemouth%20%E2%80%93%20aston%20villa&geo=FR"
"psg om","5k+","7 February 2026 at 17:00:00 UTC+5:30",,"psg om,om psg","./explore?q=psg%20om&geo=FR"
"mönchengladbach – leverkusen","2k+","7 February 2026 at 22:10:00 UTC+5:30",,"mönchengladbach – leverkusen,leverkusen","./explore?q=m%C3%B6nchengladbach%20%E2%80%93%20leverkusen&geo=FR"
"descente homme jo","5k+","7 February 2026 at 15:10:00 UTC+5:30",,"descente homme jo,josephine pagnier,joséphine pagnier,descente homme","./explore?q=descente%20homme%20jo&geo=FR"
"pfl","2k+","7 February 2026 at 00:00:00 UTC+5:30",,"pfl,taylor lapilus","./explore?q=pfl&geo=FR"
"india vs usa","5k+","7 February 2026 at 18:40:00 UTC+5:30",,"india vs usa,india national cricket team vs united states national cricket team standings,ind vs usa,india national cricket team vs united states national cricket team match scorecard","./explore?q=india%20vs%20usa&geo=FR"
"gus lamont","2k+","7 February 2026 at 19:20:00 UTC+5:30",,"gus lamont","./explore?q=gus%20lamont&geo=FR"
"man united","10k+","7 February 2026 at 18:30:00 UTC+5:30",,"man united,manchester united,man united vs tottenham,man utd,bruno fernandes,manchester united football club","./explore?q=man%20united&geo=FR"
"euromillion 6 fevrier 2026","10k+","7 February 2026 at 02:00:00 UTC+5:30",,"euromillion 6 fevrier 2026,euromillions 6 fevrier 2026,resultat euromillion 6 fevrier 2026,résultat euromillions my million","./explore?q=euromillion%206%20fevrier%202026&geo=FR"
"michel drucker","1k+","7 February 2026 at 23:40:00 UTC+5:30",,"michel drucker","./explore?q=michel%20drucker&geo=FR"
"curling","10k+","4 February 2026 at 12:10:00 UTC+5:30",,"curling,dominik paris","./explore?q=curling&geo=FR"
"samsung galaxy galaxy s26 ultra","2k+","7 February 2026 at 15:30:00 UTC+5:30",,"samsung galaxy galaxy s26 ultra","./explore?q=samsung%20galaxy%20galaxy%20s26%20ultra&geo=FR"
"fiat pandina","10k+","2 February 2026 at 12:00:00 UTC+5:30",,"fiat pandina","./explore?q=fiat%20pandina&geo=FR"
"boris vallaud","2k+","7 February 2026 at 21:20:00 UTC+5:30",,"boris vallaud","./explore?q=boris%20vallaud&geo=FR"
"burnley – west ham","2k+","7 February 2026 at 19:40:00 UTC+5:30",,"burnley – west ham","./explore?q=burnley%20%E2%80%93%20west%20ham&geo=FR"
"fulham – everton","2k+","7 February 2026 at 19:50:00 UTC+5:30",,"fulham – everton","./explore?q=fulham%20%E2%80%93%20everton&geo=FR"
"central cee","5k+","6 February 2026 at 16:50:00 UTC+5:30",,"central cee","./explore?q=central%20cee&geo=FR"
"metz – lille","50k+","7 February 2026 at 00:20:00 UTC+5:30","7 February 2026 at 22:50:00 UTC+5:30","metz – lille,metz lille,fc metz,lille metz,metz foot,metz lille match,metz,lille foot,fc metz lille,où regarder football club de metz – losc,losc metz,metz losc,metz vs losc","./explore?q=metz%20%E2%80%93%20lille&geo=FR"
"franjo von allmen","5k+","7 February 2026 at 16:30:00 UTC+5:30",,"franjo von allmen,descente homme jo 2026,jo descente homme,descente jo,von allmen franjo","./explore?q=franjo%20von%20allmen&geo=FR"
"coupe de france","200k+","3 February 2026 at 11:30:00 UTC+5:30","6 February 2026 at 14:00:00 UTC+5:30","coupe de france,tirage au sort coupe de france,coupe de france 2026,tirage coupe de france,tirage coupe de france 2026,cdf,resultat coupe de france,résultats coupe de france,match coupe de france,coupe de france tirage au sort,tirage au sort coupe de france football,coupe de france de football,coupe de france foot,quart de finale coupe de france,matchs de coupe de france,coupe de france tirage,tfc,tirage de la coupe de france,quart de finale coupe de france 2026,tirage au sort de la coupe de france,chaine tirage coupe de france,om toulouse,tirage cdf,tfc amiens,tirage au sort coupe de france chaine,date quart de finale coupe de france 2026,heure tirage coupe de france,tirage au sort quart de finale coupe de france,tirage coupe de france quart,tirage quart de finale coupe de france 2026,foot coupe de france,resultat coupe de france 2026,tirage coupe de france chaine,lyon lens coupe de france,lyon lens,coupe de france quart de finale 2026,tirage au sort,ol lens,tirage coupe de france quart de finale 2026,tirage quart de finale coupe de france,multiplex coupe de france,diffusion coupe de france,coupe france","./explore?q=coupe%20de%20france&geo=FR"
"mette marit de norvège","20k+","7 February 2026 at 21:30:00 UTC+5:30",,"mette marit de norvège,mette marit de norvege,mette marit,haakon de norvège,norvege,marius borg høiby,princesse de norvege,marius borg hoiby,mette-marit","./explore?q=mette%20marit%20de%20norv%C3%A8ge&geo=FR"
"titouan droguet","2k+","7 February 2026 at 01:10:00 UTC+5:30",,"titouan droguet,droguet","./explore?q=titouan%20droguet&geo=FR"
"gina lollobrigida","10k+","7 February 2026 at 21:30:00 UTC+5:30",,"gina lollobrigida,médailles de jeux olympiques d'hiver,jo d'hiver 2026,descente jo 2026,patinage de vitesse","./explore?q=gina%20lollobrigida&geo=FR"
"pays de galles","2k+","7 February 2026 at 18:10:00 UTC+5:30",,"pays de galles,gourgues rugby,gourgues,compo xv de france","./explore?q=pays%20de%20galles&geo=FR"
"pfl dubai","1k+","7 February 2026 at 20:10:00 UTC+5:30",,"pfl dubai","./explore?q=pfl%20dubai&geo=FR"
"pollock rugby","500+","7 February 2026 at 23:40:00 UTC+5:30",,"pollock rugby","./explore?q=pollock%20rugby&geo=FR"
"strasbourg – monaco","100k+","6 February 2026 at 00:40:00 UTC+5:30","7 February 2026 at 04:20:00 UTC+5:30","strasbourg – monaco,strasbourg monaco,monaco strasbourg,strasbourg foot,strasbourg monaco chaine,rcsa,strasbourg,monaco foot,strasbourg vs monaco,as monaco,rcsa monaco,racing monaco,racing club de strasbourg alsace,rc strasbourg,match strasbourg,racing strasbourg,martial godo,chaine strasbourg monaco,coupe de france chaine","./explore?q=strasbourg%20%E2%80%93%20monaco&geo=FR"
"calendrier et résultats jeux olympiques d'hiver","2k+","7 February 2026 at 00:50:00 UTC+5:30",,"calendrier et résultats jeux olympiques d'hiver","./explore?q=calendrier%20et%20r%C3%A9sultats%20jeux%20olympiques%20d%27hiver&geo=FR"
"cr","200+","7 February 2026 at 23:00:00 UTC+5:30",,"cr","./explore?q=cr&geo=FR"
"henry pollock","200+","7 February 2026 at 23:40:00 UTC+5:30",,"henry pollock","./explore?q=henry%20pollock&geo=FR"
"bitcoin","100k+","5 February 2026 at 04:30:00 UTC+5:30","7 February 2026 at 14:40:00 UTC+5:30","bitcoin,bitcoin cours,btc,cryptomonnaie bitcoin,cours bitcoin,crypto monnaie,cours du bitcoin,cours btc","./explore?q=bitcoin&geo=FR"
"samsunspor – trabzonspor","500+","7 February 2026 at 22:20:00 UTC+5:30",,"samsunspor – trabzonspor","./explore?q=samsunspor%20%E2%80%93%20trabzonspor&geo=FR"
"marseille – rennes","200k+","4 February 2026 at 00:30:00 UTC+5:30","5 February 2026 at 14:20:00 UTC+5:30","marseille – rennes,om rennes,marseille rennes,rennes marseille,om rennes chaine,om renne,football marseille rennes,marseille rennes chaine,om rennes coupe de france,rennes om,marseille rennes coupe de france,marseille vs rennes,match om ce soir,habib beye,match om,rennes foot,où regarder om – stade rennais football club,match om rennes,greenwood,om match,amine gouiri,glen kamara,gouiri,quentin merlin,rennes,balerdi,chaine om rennes,mason greenwood,cdf foot,om rennes quelle chaine,réunion supporters joueurs om,marseille rennes football,aubameyang,stade rennais football club,om ce soir,match marseille rennes,quelle chaîne marseille rennes,diffusion om rennes,marseille rennes foot,resume om rennes coupe de france,om foot,mahdi camara,compo om rennes,om renne chaine,classement coupe de france,om chaine,rongier,quelle chaine om rennes,chaine marseille rennes,valentin rongier,sur quelle chaine om rennes,facundo medina,om rennes coupe de france chaine,marseille rennes sur quelle chaîne,quart de finale coupe de france,l'om,psg coupe de france,om rennes compo,marseille rennes quelle chaîne","./explore?q=marseille%20%E2%80%93%20rennes&geo=FR"
"laurent luyat","1k+","7 February 2026 at 23:20:00 UTC+5:30",,"laurent luyat","./explore?q=laurent%20luyat&geo=FR"
"estoril – tondela","200+","7 February 2026 at 23:10:00 UTC+5:30",,"estoril – tondela","./explore?q=estoril%20%E2%80%93%20tondela&geo=FR"
"koh lanta 2026","200+","7 February 2026 at 23:00:00 UTC+5:30",,"koh lanta 2026","./explore?q=koh%20lanta%202026&geo=FR"
"naples foot","200+","7 February 2026 at 22:50:00 UTC+5:30",,"naples foot","./explore?q=naples%20foot&geo=FR"
"marc bernal","500+","7 February 2026 at 22:40:00 UTC+5:30",,"marc bernal","./explore?q=marc%20bernal&geo=FR"
"soudan","200+","7 February 2026 at 23:40:00 UTC+5:30",,"soudan","./explore?q=soudan&geo=FR"
"coupe davis","1k+","7 February 2026 at 20:50:00 UTC+5:30",,"coupe davis,slovaquie","./explore?q=coupe%20davis&geo=FR"
"saut a ski","200+","7 February 2026 at 23:30:00 UTC+5:30",,"saut a ski","./explore?q=saut%20a%20ski&geo=FR"
"genoa - napoli","200+","7 February 2026 at 22:50:00 UTC+5:30",,"genoa - napoli","./explore?q=genoa%20-%20napoli&geo=FR"
"nantes lyon","2k+","7 February 2026 at 22:00:00 UTC+5:30",,"nantes lyon,nantes","./explore?q=nantes%20lyon&geo=FR"
"tournoi des 6 nations 2026 calendrier","2k+","7 February 2026 at 18:40:00 UTC+5:30",,"tournoi des 6 nations 2026 calendrier,calendrier tournoi des 6 nations 2026,tournoi des 6 nations 2026 diffusion,programme 6 nations 2026,classement rugby,programme 6 nations","./explore?q=tournoi%20des%206%20nations%202026%20calendrier&geo=FR"
"charlize theron","10k+","7 February 2026 at 03:30:00 UTC+5:30","7 February 2026 at 22:20:00 UTC+5:30","charlize theron","./explore?q=charlize%20theron&geo=FR"
"julia roberts","5k+","7 February 2026 at 19:00:00 UTC+5:30","7 February 2026 at 21:50:00 UTC+5:30","julia roberts,richard gere","./explore?q=julia%20roberts&geo=FR"
"al-nassr fc – al ittihad","50k+","6 February 2026 at 22:10:00 UTC+5:30","7 February 2026 at 14:50:00 UTC+5:30","al-nassr fc – al ittihad,al riyad – al-nassr fc,cristiano ronaldo,ronaldo,cr7,championnat d'arabie saoudite,arabie saoudite,al-nassr - al-ittihad","./explore?q=al-nassr%20fc%20%E2%80%93%20al%20ittihad&geo=FR"
"strasbourg – paris-sg","200k+","2 February 2026 at 00:20:00 UTC+5:30","4 February 2026 at 12:30:00 UTC+5:30","strasbourg – paris-sg,psg strasbourg,strasbourg psg,guéla doué,strasbourg vs psg,paris strasbourg match,paris strasbourg,psg,où regarder racing club de strasbourg alsace – paris saint-germain football club,racing psg,rcsa psg,rcsa,safonov,diego moreira,nuno mendes,guela doue,strasbourg psg football,strasbourg psg chaine,strasbourg foot,strasbourg,racing strasbourg,psg strasbourg chaine,guela doué,strasbourg paris,paris saint-germain football club,ligue 1+,ligue 1 +,doué strasbourg,football strasbourg psg,resume strasbourg psg,rc strasbourg,racing club de strasbourg alsace – paris saint-germain football club : temps forts,match strasbourg,rcs psg,match racing strasbourg,rc strasbourg - psg,mayulu,psg vs,kevin gameiro,psg racing,paris sg,gary o'neil,paris strasbourg score,racing club de strasbourg alsace – paris saint-germain football club,match strasbourg psg,racing de estrasburgo - psg,psg vs strasbourg","./explore?q=strasbourg%20%E2%80%93%20paris-sg&geo=FR"
"rayo – real oviedo","5k+","7 February 2026 at 17:40:00 UTC+5:30","7 February 2026 at 21:50:00 UTC+5:30","rayo – real oviedo","./explore?q=rayo%20%E2%80%93%20real%20oviedo&geo=FR"
"big air jo 2026","2k+","7 February 2026 at 23:40:00 UTC+5:30",,"big air jo 2026,france japon hockey sur glace,hockey sur glace,hockey sur glace jo 2026,france en italie","./explore?q=big%20air%20jo%202026&geo=FR"
"grenoble","10k+","6 February 2026 at 20:10:00 UTC+5:30","7 February 2026 at 22:10:00 UTC+5:30","grenoble,grenade grenoble,grenoble grenade,grenade,explosion","./explore?q=grenoble&geo=FR"
"marie blachère","1k+","6 February 2026 at 23:20:00 UTC+5:30",,"marie blachère","./explore?q=marie%20blach%C3%A8re&geo=FR"
"lyon – laval","100k+","5 February 2026 at 00:10:00 UTC+5:30","6 February 2026 at 02:10:00 UTC+5:30","lyon – laval,ol laval,lyon laval,lyon laval foot,match olympique lyonnais laval,ol,laval,lyon foot,laval foot,lyon laval chaine,match ol,endrick,laval lyon,match lyon laval,lyon match,ol match,match lyon,stade lavallois,olympique lyonnais,lyon vs stade laval,ol laval chaine,lyon fc,lyon laval coupe de france,match ol ce soir,lyon laval match,cdf foot,remy descamps,stade lavallois mayenne football club,olympique lyon","./explore?q=lyon%20%E2%80%93%20laval&geo=FR"
"lang","200+","7 February 2026 at 23:40:00 UTC+5:30",,"lang","./explore?q=lang&geo=FR"
"reims – bastia","10k+","6 February 2026 at 23:50:00 UTC+5:30","7 February 2026 at 17:00:00 UTC+5:30","reims – bastia,reims bastia,reims foot,stade de reims,reims","./explore?q=reims%20%E2%80%93%20bastia&geo=FR"
"vincent cerutti","20k+","4 February 2026 at 18:40:00 UTC+5:30","7 February 2026 at 14:00:00 UTC+5:30","vincent cerutti,hapsatou sy,vincent cerruti","./explore?q=vincent%20cerutti&geo=FR"
"darfour","200+","7 February 2026 at 23:40:00 UTC+5:30",,"darfour","./explore?q=darfour&geo=FR"
"troyes – lens","100k+","5 February 2026 at 00:40:00 UTC+5:30","6 February 2026 at 03:00:00 UTC+5:30","troyes – lens,troyes lens,lens troyes,estac lens,estac,lens foot,rc lens,troyes,troyes lens chaine,lens match,rcl,troyes foot,racing club de lens,match lens,martin adeline,lens coupe de france,rclens","./explore?q=troyes%20%E2%80%93%20lens&geo=FR"
"trump obama","20k+","6 February 2026 at 16:50:00 UTC+5:30","7 February 2026 at 20:30:00 UTC+5:30","trump obama,barack obama,obama,video obama trump,t","./explore?q=trump%20obama&geo=FR"
"tanguy pastureau","10k+","7 February 2026 at 02:00:00 UTC+5:30","7 February 2026 at 15:40:00 UTC+5:30","tanguy pastureau,qui est tanguy pastureau,pastureau","./explore?q=tanguy%20pastureau&geo=FR"
